"survey_id","transect_id","file_name","cast_time_UTC"
"2017_S2","T8S1","CC1449004_20171005_001026",2017-10-05 00:10:26
"2017_S2","T8S2","CC1449004_20171005_004019",2017-10-05 00:40:19
"2017_S2","T8S3","CC1449004_20171005_010952",2017-10-05 01:09:52
"2017_S2","T9S4","CC1449004_20171005_015021",2017-10-05 01:50:21
"2017_S2","T9S3","CC1449004_20171005_022004",2017-10-05 02:20:04
"2017_S2","T9S2","CC1449004_20171005_025020",2017-10-05 02:50:20
"2017_S2","T9S1","CC1449004_20171005_032016",2017-10-05 03:20:16
"2018_S1","T1S1","CC1831006_20180822_223858",2018-08-22 22:38:58
"2018_S1","T1S2","CC1831006_20180822_232319",2018-08-22 23:23:19
"2018_S1","T1S3","CC1831006_20180823_000023",2018-08-23 00:00:23
"2018_S1","T1S4","CC1831006_20180823_003827",2018-08-23 00:38:27
"2018_S1","T1S5","CC1831006_20180823_011434",2018-08-23 01:14:34
"2018_S1","T2S5","CC1831006_20180823_013131",2018-08-23 01:31:31
"2018_S1","T2S4","CC1831006_20180823_020246",2018-08-23 02:02:46
"2018_S1","T2S3","CC1831006_20180823_023100",2018-08-23 02:31:00
"2018_S1","T2S2","CC1831006_20180823_030249",2018-08-23 03:02:49
"2018_S1","T2S1","CC1831006_20180823_033401",2018-08-23 03:34:01
"2018_S1","T3S4","CC1831006_20180823_043405",2018-08-23 04:34:05
"2018_S1","T3S3","CC1831006_20180823_050241",2018-08-23 05:02:41
"2018_S1","T3S2","CC1831006_20180823_053347",2018-08-23 05:33:47
"2018_S1","T3S1","CC1831006_20180823_060315",2018-08-23 06:03:15
"2018_S1","T4S1","CC1831006_20180823_220004",2018-08-23 22:00:04
"2018_S1","T4S2","CC1831006_20180823_223110",2018-08-23 22:31:10
"2018_S1","T4S3","CC1831006_20180823_230259",2018-08-23 23:02:59
"2018_S1","T4S4","CC1831006_20180823_233423",2018-08-23 23:34:23
"2018_S1","T5S3","CC1831006_20180823_235430",2018-08-23 23:54:30
"2018_S1","T5S2","CC1831006_20180824_002507",2018-08-24 00:25:07
"2018_S1","T5S1","CC1831006_20180824_005445",2018-08-24 00:54:45
"2018_S1","T6S1","CC1831006_20180824_011259",2018-08-24 01:12:59
"2018_S1","T6S2","CC1831006_20180824_013710",2018-08-24 01:37:10
"2018_S1","T6S3","CC1831006_20180824_020235",2018-08-24 02:02:35
